ID,Advisor,Problem,Ranking,InstitutionID
33436,Wenyi Zeng,B,Successful Participant,182
33437,Ping LU,D,Successful Participant,409
33438,Daqin Wang,B,Successful Participant,154
33440,Xiao Huayong,C,Honorable Mention,50
33441,Qingan Cui,D,Meritorious,750
33442,Zixuan Zhu,A,Successful Participant,7
33443,QI KANG,A,Successful Participant,82
33444,Jing Xu,D,Successful Participant,125
33445,Qinghui Zhang,A,Successful Participant,94
33446,xiaomin wang,A,Successful Participant,263
33447,Yaoyao Liu,A,Honorable Mention,1321
33448,Xin Wei,A,Successful Participant,1322
33449,Yingjun Liu,A,Successful Participant,213
33450,Long Zhang,B,Successful Participant,1324
33451,XUSEN CHENG,C,Successful Participant,125
33452,Qifen Jiang,A,Successful Participant,263
33453,Jingzhi Li,A,Successful Participant,646
33454,Qifen Jiang,A,Successful Participant,263
33455,Qifen Jiang,A,Meritorious,263
33456,Qifen Jiang,A,Successful Participant,263
33457,Qifen Jiang,A,Successful Participant,263
33458,Qifen Jiang,A,Successful Participant,263
33459,Chengdong Dong,D,Successful Participant,6
33460,Shengpeng Li,A,Honorable Mention,1334
33461,Nvze Wu,A,Successful Participant,1334
33462,Han Huang,A,Honorable Mention,1336
33463,Yong Ming Liu,A,Successful Participant,249
33464,Guoxing Fang,D,Honorable Mention,125
33465,Peixing Li,A,Successful Participant,83
33466,Chuanju Xu,A,Meritorious,394
33467,Yuan Liu,B,Successful Participant,125
33468,Xiaofang Li,A,Successful Participant,214
33469,Rongning Qu,A,Successful Participant,214
33470,Xiaofang Li,A,Meritorious,214
33471,Rongning Qu,A,Honorable Mention,214
33472,Xiaofang Li,B,Successful Participant,214
33473,Rongning Qu,B,Successful Participant,214
33474,Xiaofang Li,B,Successful Participant,214
33475,Rongning Qu,A,Honorable Mention,214
33476,Xiaofang Li,A,Meritorious,214
33477,Rongning Qu,B,Successful Participant,214
33478,Xiaofang Li,A,Honorable Mention,214
33479,Rongning Qu,A,Successful Participant,214
33480,Xiaofang Li,A,Honorable Mention,214
33481,Rongning Qu,A,Successful Participant,214
33482,Xiaofang Li,A,Successful Participant,214
33483,Rongning Qu,A,Successful Participant,214
33485,Rongning Qu,D,Successful Participant,214
33486,Xiaofang Li,A,Successful Participant,214
33487,Rongning Qu,D,Honorable Mention,214
33488,Xiaofang Li,A,Successful Participant,214
33489,Rongning Qu,A,Successful Participant,214
33490,Xiaofang Li,A,Successful Participant,214
33491,Rongning Qu,A,Honorable Mention,214
33492,Xiaofang Li,B,Successful Participant,214
33493,Rongning Qu,B,Successful Participant,214
33494,Xiaofang Li,A,Successful Participant,214
33495,Rongning Qu,A,Honorable Mention,214
33496,Xiaofang Li,A,Honorable Mention,214
33497,Rongning Qu,D,Honorable Mention,214
33498,Xiaofang Li,C,Successful Participant,214
33499,Rongning Qu,A,Successful Participant,214
33500,Xiaofang Li,A,Successful Participant,214
33501,Rongning Qu,A,Honorable Mention,214
33502,Xiaofang Li,B,Honorable Mention,214
33503,Rongning Qu,A,Successful Participant,214
33504,Xiaofang Li,A,Successful Participant,214
33505,Rongning Qu,A,Successful Participant,214
33506,Xiaofang Li,B,Successful Participant,214
33507,Rongning Qu,A,Successful Participant,214
33508,Xiaofang Li,A,Successful Participant,214
33509,Rongning Qu,A,Successful Participant,214
33510,Xiaofang Li,A,Successful Participant,214
33511,Rongning Qu,B,Honorable Mention,214
33512,Xiaofang Li,A,Successful Participant,214
33513,Rongning Qu,A,Honorable Mention,214
33514,Xiaofang Li,B,Honorable Mention,214
33515,Rongning Qu,A,Honorable Mention,214
33516,Xiaofang Li,A,Successful Participant,214
33517,Rongning Qu,A,Successful Participant,214
33518,Xiaofang Li,B,Successful Participant,214
33519,Rongning Qu,A,Honorable Mention,214
33520,Xiaofang Li,A,Successful Participant,214
33521,Rongning Qu,B,Meritorious,214
33522,Xiaofang Li,A,Successful Participant,214
33523,Rongning Qu,B,Successful Participant,214
33524,Xiaofang Li,D,Honorable Mention,214
33525,Rongning Qu,D,Meritorious,214
33526,Xiaofang Li,A,Meritorious,214
33527,Hua Zhang,B,Successful Participant,522
33528,Rongning Qu,A,Honorable Mention,214
33530,Guoxin Zuo,A,Successful Participant,1402
33531,Rongning Qu,B,Meritorious,214
33532,Xiaofang Li,A,Honorable Mention,214
33533,Rongning Qu,D,Honorable Mention,214
33534,Lianzu Jiao,D,Honorable Mention,47
33535,Xiaofang Li,A,Successful Participant,214
33536,Rongning Qu,A,Successful Participant,214
33537,Xiaofang Li,A,Successful Participant,214
33538,Rongning Qu,A,Successful Participant,214
33539,Xiaofang Li,B,Successful Participant,214
33540,Rongning Qu,A,Successful Participant,214
33541,ke zhou,A,Successful Participant,125
33542,Xiaofang Li,A,Successful Participant,214
33543,Guoxin Zuo,B,Successful Participant,1402
33544,Hai Jin,B,Successful Participant,402
33545,Jingheng Cai,D,Successful Participant,94
33546,Guofen Zhang,B,Honorable Mention,232
33547,Jianguo Zhang,A,Successful Participant,394
33548,Yuan Cao,A,Successful Participant,90
33549,Yunjie Zhang,B,Successful Participant,224
33550,Xingang Jia,D,Honorable Mention,388
33551,Xingang Jia,D,Honorable Mention,388
33552,Zhongjie Fan,A,Successful Participant,1424
33553,Xingang Jia,D,Finalist,388
33554,Xingang Jia,D,Meritorious,388
33555,Weiming Li,B,Successful Participant,4
33556,Xingang Jia,C,Honorable Mention,388
33557,Xingang Jia,D,Successful Participant,388
33558,Xingang Jia,D,Honorable Mention,388
33559,Xingang Jia,C,Honorable Mention,388
33560,Xingang Jia,C,Successful Participant,388
33561,Xingang Jia,D,Honorable Mention,388
33562,KEWEI ZHANG,A,Successful Participant,1434
33563,Yingxue Zhao,D,Honorable Mention,125
33564,Wenyi Chai,D,Successful Participant,125
33565,Shiyun Wang,B,Successful Participant,1437
33566,Pengwei WANG,A,Successful Participant,1438
33567,Hua Zhang,A,Successful Participant,522
33568,Wei Feng,B,Successful Participant,31
33569,Fangrong Yan,D,Successful Participant,1441
33570,Jie Ma,A,Honorable Mention,1442
33571,Mei Song,A,Meritorious,4
33572,Banghe Han,C,Outstanding Winner,1444
33573,Banghe Han,C,Honorable Mention,1444
33574,Mu Lin,A,Meritorious,621
33575,Xiaoming Fan,C,Successful Participant,621
33576,Yingzhe Wang,A,Honorable Mention,182
33577,Xiaoming Fan,A,Honorable Mention,621
33578,YINGXUE ZHAO,A,Successful Participant,125
33579,Hao Wang,A,Honorable Mention,1
33580,Ye Jianjun,B,Successful Participant,12
33581,Duokui Yan,A,Successful Participant,122
33582,Xiwen Lu,C,Honorable Mention,134
33583,Xiangtian Dong,B,Successful Participant,6
33584,Xiaojuan Cai,D,Successful Participant,1456
33585,Qifen Jiang,C,Honorable Mention,263
33586,Hong Yin,A,Honorable Mention,123
33587,Hou Bo,A,Honorable Mention,47
33588,Jie Qi,A,Successful Participant,154
33589,Yingchun Zhou,A,Successful Participant,249
33590,Lizhuo Zhang,B,Successful Participant,125
33591,Zhihong Luo,A,Honorable Mention,94
33592,Chuanhua Wei,A,Honorable Mention,539
33593,Minglan Wang,A,Honorable Mention,109
33594,HUI Qiao,B,Meritorious,87
33595,Lianzu Jiao,A,Honorable Mention,47
33596,Jie Mao,A,Successful Participant,1468
33598,Hao Jiang,D,Honorable Mention,1469
33599,Guocan Feng,A,Honorable Mention,94
33600,Zhujun Fan,A,Meritorious,94
33601,Huafei Sun,A,Successful Participant,402
33602,Xiaoning Yue,A,Successful Participant,1473
33603,Zuguo He,C,Honorable Mention,4
33604,Jian Yuan,A,Successful Participant,12
33605,Yan Wu,A,Successful Participant,82
33606,Jingzhi Li,A,Successful Participant,646
33607,Qifen Jiang,A,Honorable Mention,263
33608,Zeguang Li,B,Honorable Mention,7
33609,Xiaoming Fan,A,Honorable Mention,621
33610,Xiaoming Fan,D,Honorable Mention,621
33611,xiting zhang,A,Successful Participant,125
33612,Qifen Jiang,A,Successful Participant,263
33613,Shengming Ma,B,Successful Participant,31
33614,Qifen Jiang,A,Meritorious,263
33615,Xiaoming Fan,A,Honorable Mention,621
33616,Qifen Jiang,A,Honorable Mention,263
33617,baoquan ai,A,Successful Participant,109
33618,Huafei Sun,A,Successful Participant,402
33619,Qifen Jiang,C,Honorable Mention,263
33620,Lianwen Zhao,A,Successful Participant,12
33621,XinYuan Zhao,B,Honorable Mention,325
33622,Mu Lin,D,Honorable Mention,621
33623,xiaomin wang,B,Meritorious,263
33624,Hunan Li,A,Successful Participant,109
33625,Mu Lin,C,Meritorious,621
33626,Ivan Corwin,B,Successful Participant,302
33627,Shaohui Zhang,D,Successful Participant,109
33628,Chengzhang Wang,B,Successful Participant,621
33629,Ke Zhou,A,Successful Participant,125
33630,Jianyu Liu,A,Successful Participant,6
33631,Xin Guan,A,Successful Participant,1502
33632,Xiaoming Fan,A,Successful Participant,621
33633,YINGZHE WANG,A,Successful Participant,182
33634,Qifen Jiang,A,Honorable Mention,263
33635,li cui,C,Successful Participant,182
33636,Mu Lin,A,Meritorious,621
33637,Mu Lin,D,Meritorious,621
33638,ChongYan Gao,C,Honorable Mention,125
33639,Xiaoming Fan,A,Honorable Mention,621
33640,Chunyue Song,A,Successful Participant,232
33641,Xiaoming Fan,A,Honorable Mention,621
33642,Yong He,D,Successful Participant,280
33643,Yajiang Hao,A,Successful Participant,1514
33644,Shuqin Liu,A,Successful Participant,539
33645,Deqiang Gan,B,Successful Participant,232
33646,Zhuo Zhang,A,Honorable Mention,4
33647,FengFei GONG,A,Honorable Mention,249
33648,Qingshan Xu,A,Successful Participant,388
33649,Huiliang Shang,A,Meritorious,90
33650,Xiaobao Zhu,A,Meritorious,123
33651,Shuisheng Zhou,C,Honorable Mention,1444
33652,Shuisheng Zhou,C,Honorable Mention,1444
33653,Jimin Ye,C,Honorable Mention,1444
33654,Jimin Ye,D,Meritorious,1444
33655,Qiang Zhu,C,Honorable Mention,1444
33656,Qiang Zhu,C,Successful Participant,1444
33657,Jinying Tan,A,Honorable Mention,11
33658,Xuewen Mu,C,Successful Participant,1444
33659,Xuewen Mu,C,Honorable Mention,1444
33660,Hong Fang,B,Meritorious,11
33661,Yue Song,A,Honorable Mention,1444
33662,Yue Song,C,Successful Participant,1444
33663,Hailin Feng,D,Honorable Mention,1444
33664,Hailin Feng,C,Honorable Mention,1444
33665,Shiping Du,B,Successful Participant,636
33666,Feng Ye,C,Honorable Mention,1444
33667,Feng Ye,C,Meritorious,1444
33668,Zhenguo Bai,D,Successful Participant,1444
33669,Zhenguo Bai,D,Honorable Mention,1444
33670,Ke Zhou,B,Successful Participant,125
33671,Shengli Zhang,D,Meritorious,1444
33672,Feifan Yuan,C,Honorable Mention,1438
33673,Shengli Zhang,B,Finalist,1444
33674,Mingmin Zhu,C,Honorable Mention,1444
33675,Mingmin Zhu,C,Honorable Mention,1444
33676,Guifeng Yan,A,Successful Participant,402
33677,Hai Jin,B,Meritorious,402
33678,Yuqian Yang,D,Honorable Mention,1444
33679,Yuqian Yang,D,Meritorious,1444
33680,Yingzhe Wang,D,Meritorious,1551
33681,Qingsong Zou,D,Meritorious,1444
33682,Haiyan Fu,D,Honorable Mention,236
33683,Qingsong Zou,D,Honorable Mention,1444
33684,Benchong Li,D,Meritorious,1444
33685,Benchong Li,A,Honorable Mention,1444
33686,Wantao Ning,C,Honorable Mention,1444
33687,Wantao Ning,C,Honorable Mention,1444
33688,Liang Wang,D,Meritorious,1444
33689,Liang Wang,D,Meritorious,1444
33690,Lianzu Jiao,C,Honorable Mention,1561
33691,Shuangyun Xing,A,Honorable Mention,1562
33692,Shuangyun Xing,A,Successful Participant,1562
33693,Qiuhui Pan,A,Honorable Mention,1564
33694,Shuangyun Xing,A,Honorable Mention,1562
33695,Qiuhui Pan,A,Successful Participant,1564
33696,Qiuhui Pan,C,Honorable Mention,1564
33697,Qiuhui Pan,D,Successful Participant,1564
33698,Qiuhui Pan,A,Successful Participant,1564
33699,Qiuhui Pan,C,Successful Participant,1564
33700,Qiuhui Pan,D,Honorable Mention,1564
33701,Qiuhui Pan,C,Honorable Mention,1564
33702,Qiuhui Pan,D,Successful Participant,1564
33703,Qiuhui Pan,A,Honorable Mention,1564
33704,Xiaoming Fan,A,Successful Participant,621
33705,Mu Lin,A,Successful Participant,621
33706,Zixiong Peng,D,Honorable Mention,621
33707,Wei Pu,A,Successful Participant,12
33708,Xiaohang Zhang,A,Meritorious,4
33709,Zhonghua Qiu,B,Honorable Mention,1580
33710,Qiuhui Pan,B,Honorable Mention,1564
33711,Qiuhui Pan,B,Honorable Mention,1564
33712,Qiuhui Pan,A,Successful Participant,1564
33713,Qiuhui Pan,B,Successful Participant,1564
33714,Qiuhui Pan,A,Honorable Mention,1564
33715,Qiuhui Pan,A,Successful Participant,1564
33716,Yunjie Zhang,A,Successful Participant,224
33717,Jianghao Hao,A,Successful Participant,93
33718,Xianye Ben,B,Successful Participant,1438
33719,Zhuangzhi Fang,A,Successful Participant,1590
33720,Peixing Li,A,Successful Participant,94
33721,Hua Li,B,Successful Participant,750
33722,Zhixuan Zhou,C,Honorable Mention,1593
33723,Yanling Su,C,Successful Participant,125
33724,Jiawen Bian,B,Successful Participant,1595
33725,Jianxin Zhu,A,Successful Participant,232
33726,wencai zhao,B,Honorable Mention,1597
33727,Hai Jin,A,Successful Participant,402
33728,Shengshan Cao,B,Successful Participant,1599
33729,Tongjiang Yan,A,Successful Participant,1600
33730,Zhixuan Zhou,D,Successful Participant,1593
33731,Yu Zhang,B,Honorable Mention,1602
33732,Tongjiang Yan,A,Successful Participant,1600
33733,Tongjiang Yan,A,Successful Participant,1600
33734,Tongjiang Yan,A,Honorable Mention,1600
33735,Tongjiang Yan,B,Honorable Mention,1600
33736,Lu Li,B,Honorable Mention,1607
33737,Xiaoming Fan,A,Successful Participant,621
33738,Chengzhang Wang,D,Meritorious,621
33739,Deqing Zhou,A,Honorable Mention,621
33740,Dan Liu,C,Honorable Mention,1444
33741,Xiaonan Li,D,Honorable Mention,1444
33742,Zhenhua Liu,C,Honorable Mention,1444
33743,Qiru Wang,D,Honorable Mention,94
33744,Dandan Yang,C,Meritorious,1444
33745,Hongyun Meng,B,Successful Participant,1444
33746,Bo Ling,C,Successful Participant,1444
33747,Ruihong Li,A,Honorable Mention,1444
33748,Xin Fan,A,Successful Participant,1564
33749,Xin Fan,A,Successful Participant,1564
33750,YUJIE ZHANG,B,Honorable Mention,1621
33751,CHUNGUANG CHEN,A,Successful Participant,1599
33752,Kangsheng Liu,A,Honorable Mention,232
33753,Yunjie Chen,A,Honorable Mention,522
33754,Qianfeng Tang,A,Successful Participant,1625
33755,Peng Huichun,B,Successful Participant,1626
33756,Huiping Zhang,A,Successful Participant,123
33757,Chengzhang Wang,B,Honorable Mention,621
33758,Chengzhang Wang,A,Successful Participant,621
33759,Zixiong Peng,D,Meritorious,621
33760,Ruilin Liu,D,Honorable Mention,125
33761,Guifeng Yan,B,Successful Participant,402
33762,Zhihong Lu,D,Successful Participant,4
33763,Linlin Tian,A,Successful Participant,1564
33764,Linlin Tian,B,Meritorious,1564
33765,Kun Lu,B,Successful Participant,1564
33766,Sang Zhaoyang,A,Meritorious,1637
33767,Kun Lu,B,Successful Participant,1564
33768,Fengqi Li,B,Successful Participant,1564
33769,Fengqi Li,D,Successful Participant,1564
33770,Qi Jia,A,Successful Participant,1564
33771,Qi Jia,B,Honorable Mention,1564
33772,Sang Zhaoyang,A,Honorable Mention,1637
33773,Hui Lu,A,Successful Participant,1564
33774,Jianguo Zhang,A,Successful Participant,394
33775,Hui Lu,A,Successful Participant,1564
33776,Sang Zhaoyang,A,Successful Participant,1637
33777,Sun Yuhua,A,Successful Participant,1637
33778,Xin Fan,A,Successful Participant,1564
33779,jianguo Liu,C,Successful Participant,428
33780,Hui Lu,C,Honorable Mention,1564
33781,Hui Lu,D,Honorable Mention,1564
33782,Xiujiang Li,A,Successful Participant,1599
33783,Sun Yuhua,A,Successful Participant,1637
33784,Xin Fan,A,Honorable Mention,1564
33785,Xin Fan,D,Successful Participant,1564
33786,Sun Yuhua,D,Meritorious,1637
33787,Wei Liu,A,Successful Participant,1658
33788,Sun Yuhua,B,Successful Participant,1637
33789,Xiangbing Chen,A,Successful Participant,1660
33790,Sheng shan Cao,B,Successful Participant,1599
33791,Wei Liu,A,Successful Participant,1658
33792,Kui Zhang,B,Successful Participant,1658
33793,Kui Zhang,A,Successful Participant,1658
33794,Zhang Wenbo,B,Successful Participant,4
33795,Xidao Luan,B,Successful Participant,1658
33796,Jing Liu,B,Successful Participant,1667
33797,Jing Liu,A,Honorable Mention,1667
33798,Jing Liu,B,Meritorious,1667
33799,Jing Liu,A,Meritorious,1667
33800,Jing Liu,B,Successful Participant,1667
33801,Jing Liu,A,Honorable Mention,1667
33802,Jing Liu,B,Honorable Mention,1667
33803,Jing Liu,B,Meritorious,1667
33804,Jing Liu,B,Meritorious,1667
33805,Jing Liu,C,Successful Participant,1667
33806,Jing Liu,A,Successful Participant,1667
33807,Jing Liu,B,Honorable Mention,1667
33808,Jing Liu,A,Honorable Mention,1667
33810,Jing Liu,A,Successful Participant,1667
33811,Jing Liu,A,Honorable Mention,1667
33812,Daoqing Dai,B,Honorable Mention,3
33813,Jing Liu,A,Honorable Mention,1667
33814,Jing Liu,A,Successful Participant,1667
33815,Jing Liu,A,Successful Participant,1667
33816,Jing Liu,A,Honorable Mention,1667
33817,Jing Liu,A,Honorable Mention,1667
33818,Zhijie Cai,A,Honorable Mention,90
33819,Jing Liu,B,Meritorious,1667
33820,Wangyong Lv,A,Successful Participant,1690
33821,Jing Liu,A,Successful Participant,1667
33823,Zhijie Cai,B,Meritorious,90
33824,Sun Qingying,A,Successful Participant,1637
33825,Long Zhang,A,Successful Participant,1324
33826,Wu Guoli,D,Honorable Mention,1637
33827,Wu Guoli,A,Successful Participant,1637
33828,Xing Lili,A,Successful Participant,1637
33829,Wu Guoli,A,Honorable Mention,1637
33830,Shuisheng Zhou,C,Honorable Mention,1444
33831,Jimin Ye,C,Honorable Mention,1444
33832,Banghe Han,B,Honorable Mention,1444
33833,Banghe Han,D,Honorable Mention,1444
33834,Sun Qingying,B,Honorable Mention,1637
33835,Xing Lili,D,Honorable Mention,1637
33836,Yue Song,C,Successful Participant,1444
33837,Wu Guoli,A,Successful Participant,1637
33838,Qiang Zhu,C,Successful Participant,1444
33839,Xiongda Chen,A,Successful Participant,82
33840,Jiajun Zhang,A,Honorable Mention,94
33841,Jiawen Bian,B,Honorable Mention,1595
33842,"Qiuhua Tang, Liping Zhang",B,Meritorious,1711
33843,Hailin Feng,C,Honorable Mention,1444
33844,Xiaohan Yang,A,Successful Participant,82
33845,Chuan He,B,Honorable Mention,97
33846,Yanlin Tang,A,Successful Participant,82
33847,Feng Ye,C,Successful Participant,1444
33848,Xing Lili,B,Honorable Mention,1637
33849,Xuewen Mu,A,Successful Participant,1444
33850,Junfeng Yin,B,Successful Participant,82
33851,Sun Qingying,D,Meritorious,1637
33852,Linlin Tian,B,Successful Participant,1564
33853,Linlin Tian,A,Honorable Mention,1564
33854,Hong Shen,D,Meritorious,232
33855,Xiaoming Fan,C,Successful Participant,621
33857,Quan Wen,D,Successful Participant,1725
33858,Long Zhang,A,Successful Participant,1324
33859,Linlin Tian,A,Successful Participant,1564
33860,Kun Lu,C,Successful Participant,1564
33861,Long Zhang,C,Successful Participant,1324
33862,"Qiuhua Tang, Liping Zhang",A,Successful Participant,1711
33863,Xiaoming Fan,B,Honorable Mention,621
33864,xiaofan He,B,Successful Participant,31
33865,Fengqi Li,A,Honorable Mention,1564
33866,Fengqi Li,B,Honorable Mention,1564
33867,Youling Feng,A,Successful Participant,1735
33868,Weiguo Li,A,Successful Participant,1736
33869,"Liping Zhang, Qiuhua Tang",B,Honorable Mention,1711
33870,Yan Wang,A,Honorable Mention,1637
33871,Mou Haining,B,Meritorious,1637
33872,Weiguo Li,A,Honorable Mention,1736
33873,Weiguo Li,A,Successful Participant,1736
33874,xiang rong wu,A,Honorable Mention,1742
33875,Sang Zhaoyang,A,Honorable Mention,1637
33876,Yan Wang,A,Successful Participant,1637
33877,Qiuhui Pan,A,Successful Participant,1564
33879,Weiguo Li,C,Meritorious,1736
33880,Qiuhui Pan,A,Successful Participant,1564
33881,Yan Wang,B,Meritorious,1637
33882,Mou Haining,A,Honorable Mention,1637
33883,Qiuhui Pan,B,Meritorious,1564
33884,Qiuhui Pan,A,Honorable Mention,1564
33885,Xing Lili,B,Honorable Mention,1637
33886,Qiuhui Pan,A,Meritorious,1564
33887,Mou Haining,A,Honorable Mention,1637
33888,Qiuhui Pan,A,Successful Participant,1564
33889,Qiuhui Pan,A,Honorable Mention,1564
33890,Qiuhui Pan,A,Successful Participant,1564
33891,Zhenglu Jiang,A,Successful Participant,94
33892,Mou Haining,B,Successful Participant,1637
33893,Qiuhui Pan,B,Successful Participant,1564
33894,Yanhui Guan,C,Successful Participant,94
33895,Qiuhui Pan,A,Successful Participant,1564
33897,Gengxin Zheng,B,Successful Participant,539
33898,Xiangbing Chen,A,Successful Participant,1764
33899,Jun Yang,D,Honorable Mention,1765
33900,Qifen Jiang,C,Outstanding Winner,263
33901,Zixiong Peng,D,Successful Participant,621
33902,Xiaoming Fan,A,Successful Participant,621
33903,Zhiming Hu,B,Successful Participant,1424
33904,Xiaojie Wang,A,Successful Participant,4
33905,Shenquan Liu,A,Successful Participant,1771
33906,Zeng-shun Zhao,D,Successful Participant,292
33907,Yuchen Cao,B,Successful Participant,232
33908,Bing Chen,A,Successful Participant,292
33909,Hongxia Liu,D,Honorable Mention,292
33910,Jun Liu,D,Honorable Mention,1637
33911,Yongli Wang,D,Meritorious,292
33912,Yijun Zhao,B,Successful Participant,292
33913,XUAN HUA SHI,C,Successful Participant,1779
33914,Wencai Zhao,B,Successful Participant,292
33915,Di Fan,B,Successful Participant,292
33916,Yongli Wang,D,Honorable Mention,292
33917,Xingzhen Bai,A,Honorable Mention,292
33918,Qinghui Zhang,A,Successful Participant,94
33919,Dehua Li,A,Honorable Mention,292
33920,Baoye Song,B,Successful Participant,292
33921,Zixiong Peng,D,Successful Participant,621
33922,Yi Wang,A,Successful Participant,292
33923,Jun Liu,B,Honorable Mention,1637
33924,Yijun Zhao,A,Successful Participant,292
33925,Yijun Zhao,A,Successful Participant,292
33926,Zhengqing Fu,B,Successful Participant,292
33927,Jun Liu,A,Meritorious,1637
33928,Bo Wu,D,Honorable Mention,292
33929,Chunjin Zhang,A,Honorable Mention,292
33931,Yinjing Guo,A,Honorable Mention,292
33932,Jun Liu,A,Successful Participant,1637
33933,Bo Meng,B,Honorable Mention,292
33934,Longqing Shi,A,Successful Participant,292
33935,Lianzu Jiao,A,Successful Participant,109
33936,Changyin Zhou,D,Honorable Mention,292
33937,Xinzeng Wang,D,Honorable Mention,292
33938,Yinjing Guo,A,Successful Participant,292
33939,Jinxiao Liu,A,Successful Participant,292
33940,Yongsheng Ren,B,Meritorious,292
33941,Gang Dou,A,Successful Participant,292
33942,Yinjing Guo,D,Successful Participant,292
33943,YiJun Zhao,A,Honorable Mention,1808
33944,Jiao Mo,A,Honorable Mention,4
33945,Xiang Gao,A,Honorable Mention,1599
33946,Shengshan Cao,A,Successful Participant,1599
33947,Ying Zhang,A,Successful Participant,7
33948,Xiaoming Fan,B,Honorable Mention,621
33949,Jianxin Zhu,B,Successful Participant,232
33950,Mei Lu,C,Successful Participant,1424
33951,ChengDong Dong,B,Successful Participant,6
33952,Liping Zhang,A,Honorable Mention,1817
33953,Shi Rengang,B,Successful Participant,1637
33954,Shi Rengang,B,Successful Participant,1637
33955,Shi Rengang,A,Honorable Mention,1637
33956,Wang Hongzhou,A,Successful Participant,402
33957,Ge Ju,A,Meritorious,1637
33958,Jianyu Pan,A,Honorable Mention,249
33960,Wang Hongzhou,A,Honorable Mention,402
33961,Ming Zhu,A,Successful Participant,1564
33962,Wang Hongzhou,A,Successful Participant,402
33963,Ming Zhu,A,Honorable Mention,1564
33964,Zhong Zhou,A,Honorable Mention,1564
33965,Lv xianrui,D,Meritorious,1725
33967,Lv xianrui,A,Honorable Mention,1725
33968,Nanhai Yang,B,Successful Participant,1564
33970,Yang Liu,A,Successful Participant,31
33971,liu jiang hui,D,Successful Participant,1833
33972,Hong Shen,A,Honorable Mention,232
33973,fang yong fei,B,Successful Participant,402
33974,Jialiang Xiang,B,Honorable Mention,82
33975,Hualong Zhang,B,Honorable Mention,82
33976,Jin Liang,A,Honorable Mention,82
33977,Zhijian Qian,A,Meritorious,82
33978,Wei Wang,D,Honorable Mention,82
33979,Lingjun Zhou,B,Meritorious,82
33980,Yuan Cao,B,Meritorious,90
33981,Jun Li,D,Successful Participant,1444
33982,Yiting Yang,C,Successful Participant,82
33983,Changshui Huang,A,Honorable Mention,82
33984,Lina Li,A,Honorable Mention,82
33985,Cheng Wang,A,Successful Participant,82
33986,Jianguo Wu,A,Successful Participant,82
33987,Minbo Yang,D,Honorable Mention,1849
33988,Margot Gerritsen,A,Honorable Mention,1850
33989,ZHI LIU,A,Successful Participant,1851
33990,Zhang Xinhong,C,Successful Participant,1637
33991,Sun Qingying,A,Honorable Mention,1637
33992,Zhang Xinhong,A,Successful Participant,1637
33993,Haiyan Li,A,Successful Participant,1855
33994,Jiang Lingling,A,Successful Participant,1637
33995,Haiyan Li,B,Successful Participant,1855
33996,Yang Lei,A,Successful Participant,1637
33997,Jundong Yang,A,Successful Participant,1855
33998,Hong Wei,A,Successful Participant,1855
33999,Yang Lei,C,Successful Participant,1637
34000,Jundong Yang,A,Successful Participant,1855
34001,Yang Lei,B,Successful Participant,1637
34002,Hao Wu,B,Successful Participant,1855
34003,Bo Li,A,Successful Participant,1855
34004,Yang Lei,C,Successful Participant,1637
34005,Yaqun Huang,A,Honorable Mention,1855
34006,Bo Li,A,Honorable Mention,1855
34007,Mingchuan Tan,A,Honorable Mention,1855
34008,Huaixiong Zhang,A,Honorable Mention,1855
34009,Wenjing Lee,A,Successful Participant,1871
34010,Yongdong Zhang,A,Successful Participant,94
34011,Guangkun Sun,A,Honorable Mention,1873
34012,Li Zhang,D,Honorable Mention,82
34014,Jiang Lingling,A,Successful Participant,1637
34015,Yusheng Li,A,Meritorious,82
34016,Zhang Jingming,B,Successful Participant,1637
34017,Meisong Tong,A,Honorable Mention,82
34018,Xiongda Chen,B,Honorable Mention,82
34019,Xiaohan Yang,A,Honorable Mention,82
34020,Yanlin Tang,D,Honorable Mention,82
34021,Junfeng Yin,A,Successful Participant,82
34022,Jialiang Xiang,B,Honorable Mention,82
34023,Hualong Zhang,A,Honorable Mention,82
34024,Jin Liang,B,Successful Participant,82
34025,Zhijian Qian,B,Meritorious,82
34026,Wei Wang,B,Successful Participant,82
34027,Lingjun Zhou,A,Successful Participant,82
34028,Yiting Yang,C,Successful Participant,82
34029,Zhang Jingming,A,Honorable Mention,1637
34030,Junjie Zhou,A,Successful Participant,750
34031,Zhang Jingming,A,Successful Participant,1637
34032,Zhang Jingming,A,Successful Participant,1637
34033,Qifen Jiang,A,Successful Participant,263
34034,Qifen Jiang,D,Meritorious,263
34035,Qifen Jiang,A,Successful Participant,263
34036,jinquan li,A,Honorable Mention,781
34037,Meisong Tong,B,Successful Participant,82
34038,jinquan li,A,Successful Participant,781
34039,Xin Fan,A,Successful Participant,1564
34040,Xin Fan,D,Meritorious,1564
34041,Ming Zhu,D,Successful Participant,1564
34042,Ming Zhu,B,Successful Participant,1564
34043,Ge Ju,A,Successful Participant,1637
34044,XiaoMing Fan,D,Honorable Mention,621
34045,Kun Lu,A,Successful Participant,1564
34046,Wenqiang Luo,B,Honorable Mention,1621
34047,Hunan Li,A,Honorable Mention,109
34048,Zuoqiang Shi,D,Honorable Mention,1424
34049,Bo Hou,B,Successful Participant,1910
34050,Qi Wang,A,Successful Participant,25
